experiment,description,total_samples,BLEU_1,BLEU_2,BLEU_3,BLEU_4,METEOR,ROUGE_L,CIDEr,chexbert_5_micro_f1,chexbert_5_macro_f1,chexbert_all_micro_f1,chexbert_all_macro_f1,F1-Radgraph-partial,avg_pred_length_words,avg_gt_length_words,CIDer,status,output_dir,method,citation
decoding_beam1,Experiment 1.1: Decoding - beam_size=1,3851.0,0.35099789576495644,0.1932907218065976,0.11856794702858404,0.07828594822219943,0.14040918937404698,0.23417148359583545,0.0889584937421453,0.48893764856463706,0.4235461338432619,0.43385996073665517,0.30222865889204586,0.0,72.31524279407947,66.9678005712802,0.0889584937421453,,,,
decoding_beam3,Experiment 1.1: Decoding - beam_size=3,3851.0,0.3726442927334903,0.2378079473477519,0.1676209198717992,0.12606228157374177,0.15271909287114555,0.2894574365336267,0.19256283406346636,0.5269552012148824,0.4594020179074711,0.4484980771229602,0.28449804472720436,0.0,55.35860815372631,66.9678005712802,0.19256283406346636,,,,
decoding_beam5,Experiment 1.1: Decoding - beam_size=5,3851.0,0.3590527943429724,0.22867629626608948,0.16157219315430857,0.12189237142699207,0.14895539848229125,0.2853396219554763,0.18138748921571862,0.5130009775171065,0.4482132036347005,0.43822006130430186,0.276326970977656,0.0,53.285640093482215,66.9678005712802,0.18138748921571862,,,,
decoding_beam10,Experiment 1.1: Decoding - beam_size=10,3851.0,0.34020676842815933,0.21526022967952413,0.15145959453998725,0.11385982778278934,0.14361369367511287,0.2791882432136963,0.1780909721372632,0.49757673667205177,0.4338662782878265,0.42329407969027266,0.2660192053684667,0.0,50.5582965463516,66.9678005712802,0.1780909721372632,,,,
decoding_temp07,Experiment 1.2: Decoding - temperature=0.7,3851.0,0.37105507818394556,0.2371626561479627,0.16714938186317924,0.1254209136475724,0.1518042538541135,0.28997416358954936,0.18394183574646564,0.5351366170154436,0.4631038819924752,0.4561099796334012,0.29282836798685113,0.0,55.05115554401454,66.9678005712802,0.18394183574646564,,,,
decoding_temp10,Experiment 1.2: Decoding - temperature=1.0,3851.0,0.3726442927334903,0.2378079473477519,0.1676209198717992,0.12606228157374177,0.15271909287114555,0.2894574365336267,0.19256283406346636,0.5269552012148824,0.4594020179074711,0.4484980771229602,0.28449804472720436,0.0,55.35860815372631,66.9678005712802,0.19256283406346636,,,,
decoding_temp13,Experiment 1.2: Decoding - temperature=1.3,3851.0,0.3678279517828806,0.23357528101309274,0.16466105776445858,0.12403509031606667,0.15176741932995166,0.2865521101436116,0.18816111815239644,0.5167361986999127,0.4494253347800107,0.44263662911973306,0.27968603129244957,0.0,54.72552583744482,66.9678005712802,0.18816111815239644,,,,
baseline_full,Baseline Full,3850.0,0.3725434088926484,0.23774389956386902,0.16756177134323122,0.12600280902218805,0.15266106660337755,0.2894435897115081,0.0,0.5269949710598728,0.4595875066464193,0.44834753689461654,0.28444383356081576,0.0,55.349870129870126,66.97272727272727,0.19252041976995216,,,,
ablation_no_sk,Experiment 2.2: Ablation - no similar cases,3851.0,0.3054936645720259,0.17863811043147815,0.11373914770882045,0.07825130601566758,0.12406912249091784,0.254465615819179,0.08610432276532642,0.37518565063406834,0.3234480705836774,0.29055772164773686,0.191834523036907,0.0,48.96442482472085,66.9678005712802,0.08610432276532642,,,,
ablation_sk1,Experiment 2.3: Ablation - sk_topk=1,3851.0,0.3726442927334903,0.2378079473477519,0.1676209198717992,0.12606228157374177,0.15271909287114555,0.2894574365336267,0.19256283406346636,0.5269552012148824,0.4594020179074711,0.4484980771229602,0.28449804472720436,0.0,55.35860815372631,66.9678005712802,0.19256283406346636,,,,
ablation_sk3,Experiment 2.3: Ablation - sk_topk=3,3851.0,0.3726442927334903,0.2378079473477519,0.1676209198717992,0.12606228157374177,0.15271909287114555,0.2894574365336267,0.19256283406346636,0.5269552012148824,0.4594020179074711,0.4484980771229602,0.28449804472720436,0.0,55.35860815372631,66.9678005712802,0.19256283406346636,,,,
ablation_sk5,Experiment 2.3: Ablation - sk_topk=5,3851.0,0.3726442927334903,0.2378079473477519,0.1676209198717992,0.12606228157374177,0.15271909287114555,0.2894574365336267,0.19256283406346636,0.5269552012148824,0.4594020179074711,0.4484980771229602,0.28449804472720436,0.0,55.35860815372631,66.9678005712802,0.19256283406346636,,,,
explainability_gradcam,,,,,,,,,,,,,,,,,,completed,results/mimic_cxr/test/explainability_gradcam,simplified_gradcam,"Selvaraju et al., ICCV 2017"
explainability_entity,,,,,,,,,,,,,,,,,,completed,results/mimic_cxr/test/explainability_entity,,
